Date,MaxTempF,MeanTempF,MinTempF
1977-01-02,36,30,25
1977-01-03,28,24,19
1977-01-04,37,32,27
1977-01-05,30,26,21
1977-01-06,30,24,19
1977-01-07,33,28,23
1977-01-08,28,24,19
1977-01-09,28,24,19
1977-01-10,39,31,21
1977-01-11,24,20,16
1977-01-12,19,16,12
1977-01-13,21,16,10
1977-01-14,28,24,19
1977-01-15,30,26,21
1977-01-16,27,18,9
1977-01-17,8,4,0
1977-01-18,10,6,1
1977-01-19,26,18,9
1977-01-20,35,26,18
1977-01-21,27,23,19
1977-01-22,24,20,15
1977-01-23,28,21,14
1977-01-24,32,25,18
1977-01-25,35,31,27
1977-01-26,30,26,23
1977-01-27,33,29,23
1977-01-28,41,26,12
1977-01-29,12,8,3
1977-01-30,19,14,10
1977-01-31,21,16,10
1978-01-01,32,30,27
1978-01-02,33,30,28
1978-01-03,28,24,19
1978-01-04,30,24,19
1978-01-05,39,32,26
1978-01-06,46,40,34
1978-01-07,37,37,36
1978-01-08,54,45,36
1978-01-09,55,36,16
1978-01-10,21,16,12
1978-01-11,28,24,21
1978-01-12,32,26,19
1978-01-13,33,30,28
1978-01-14,35,32,30
1978-01-15,28,24,19
1978-01-16,28,23,18
1978-01-17,36,30,25
1978-01-18,43,36,27
1978-01-19,30,27,24
1978-01-20,34,31,28
1978-01-21,27,25,23
1978-01-22,30,24,19
1978-01-23,32,26,21
1978-01-24,34,28,21
1978-01-25,46,38,30
1978-01-26,52,40,26
1978-01-27,28,26,23
1978-01-28,27,23,19
1978-01-29,26,22,17
1978-01-30,33,25,17
1978-01-31,28,24,21
1979-01-01,51,48,46
1979-01-02,55,48,39
1979-01-03,37,28,17
1979-01-04,28,22,15
1979-01-05,28,26,25
1979-01-06,34,30,26
1979-01-07,50,40,30
1979-01-08,50,40,30
1979-01-09,28,24,21
1979-01-10,28,24,21
1979-01-11,25,21,16
1979-01-12,27,20,15
1979-01-13,39,34,28
1979-01-14,42,37,30
1979-01-15,30,27,24
1979-01-16,39,32,25
1979-01-17,37,29,21
1979-01-18,34,23,12
1979-01-19,19,14,8
1979-01-20,35,26,17
1979-01-21,54,44,35
1979-01-22,39,38,36
1979-01-23,39,34,30
1979-01-24,52,42,33
1979-01-25,48,41,34
1979-01-26,43,39,35
1979-01-27,48,42,36
1979-01-28,42,39,36
1979-01-29,42,40,37
1979-01-30,42,38,33
1979-01-31,39,34,28
1980-01-01,42,34,26
1980-01-02,41,36,30
1980-01-03,36,32,28
1980-01-04,30,25,20
1980-01-05,29,27,25
1980-01-06,33,25,17
1980-01-07,39,34,28
1980-01-08,36,33,30
1980-01-09,31,30,28
1980-01-10,33,28,23
1980-01-11,53,44,35
1980-01-12,48,38,26
1980-01-13,33,26,19
1980-01-14,54,42,31
1980-01-15,51,45,37
1980-01-16,45,39,33
1980-01-17,39,36,32
1980-01-18,41,38,36
1980-01-19,43,41,39
1980-01-20,39,34,30
1980-01-21,37,32,28
1980-01-22,41,36,30
1980-01-23,42,35,28
1980-01-24,25,22,19
1980-01-25,30,26,21
1980-01-26,35,30,24
1980-01-27,35,30,25
1980-01-28,36,32,28
1980-01-29,31,28,25
1980-01-30,28,22,17
1980-01-31,26,22,15
1981-01-01,28,26,24
1981-01-02,36,30,21
1981-01-03,21,18,15
1981-01-04,16,12,8
1981-01-05,30,21,12
1981-01-06,36,28,19
1981-01-07,36,28,19
1981-01-08,19,16,12
1981-01-09,24,16,8
1981-01-10,25,18,12
1981-01-11,17,14,10
1981-01-12,14,10,5
1981-01-13,21,14,8
1981-01-14,30,24,18
1981-01-15,32,28,23
1981-01-16,30,27,24
1981-01-17,28,24,17
1981-01-18,28,22,15
1981-01-19,42,36,30
1981-01-20,42,37,30
1981-01-21,36,32,27
1981-01-22,39,31,23
1981-01-23,43,38,34
1981-01-24,39,36,34
1981-01-25,36,32,28
1981-01-26,39,36,34
1981-01-27,50,44,37
1981-01-28,42,38,34
1981-01-29,41,34,26
1981-01-30,30,26,21
1981-01-31,37,28,18
1982-01-01,46,44,39
1982-01-02,39,34,28
1982-01-03,37,32,27
1982-01-04,53,46,39
1982-01-05,48,42,36
1982-01-06,46,39,32
1982-01-07,48,42,35
1982-01-08,33,28,23
1982-01-09,32,26,19
1982-01-10,18,12,7
1982-01-11,17,11,5
1982-01-12,17,12,7
1982-01-13,25,20,15
1982-01-14,27,26,24
1982-01-15,28,24,19
1982-01-16,37,27,17
1982-01-17,21,10,0
1982-01-18,16,6,0
1982-01-19,26,18,10
1982-01-20,37,30,24
1982-01-21,30,24,16
1982-01-22,18,12,7
1982-01-23,45,31,17
1982-01-24,37,28,19
1982-01-25,24,20,17
1982-01-26,28,24,19
1982-01-27,27,20,12
1982-01-28,36,30,24
1982-01-29,41,34,28
1982-01-30,42,34,26
1982-01-31,48,42,37
1983-01-01,46,42,37
1983-01-02,45,40,36
1983-01-03,41,38,35
1983-01-04,34,30,27
1983-01-05,48,40,32
1983-01-06,48,44,39
1983-01-07,51,43,35
1983-01-08,48,44,37
1983-01-09,39,36,32
1983-01-10,53,44,37
1983-01-11,57,51,43
1983-01-12,46,37,27
1983-01-13,35,30,24
1983-01-14,37,29,21
