Date,Open,High,Low,Close,Adj Close,Volume
2015-10-08,6.477500,6.560000,6.367500,6.542500,6.365756,46006800
2015-10-09,6.507500,6.570000,6.395000,6.517500,6.341432,42324800
2015-10-12,6.525000,6.625000,6.477500,6.587500,6.409541,22758800
2015-10-13,6.535000,6.640000,6.512500,6.600000,6.421703,29844400
2015-10-14,6.607500,6.947500,6.600000,6.840000,6.655219,61214800
2015-10-15,6.852500,6.997500,6.782500,6.857500,6.672246,52604800
2015-10-16,6.880000,7.030000,6.862500,6.965000,6.776841,44839600
2015-10-19,6.987500,7.020000,6.872500,6.952500,6.764680,29471200
2015-10-20,6.922500,6.975000,6.870000,6.942500,6.754950,26482400
2015-10-21,6.985000,7.027500,6.840000,6.852500,6.667382,38628000
2015-10-22,6.932500,7.122500,6.922500,7.100000,6.908196,30688400
2015-10-23,7.162500,7.195000,7.055000,7.147500,6.954413,38177600
2015-10-26,7.152500,7.170000,7.050000,7.115000,6.922789,24743600
2015-10-27,7.080000,7.155000,7.075000,7.110000,6.917926,20826800
2015-10-28,7.155000,7.167500,7.050000,7.167500,6.973872,21703600
2015-10-29,7.052500,7.125000,6.907500,6.920000,6.733057,32716800
2015-10-30,6.995000,7.142500,6.942500,7.092500,6.900898,30116000
2015-11-02,7.115000,7.182500,7.072500,7.175000,6.981168,19008800
2015-11-03,7.132500,7.172500,7.045000,7.125000,6.932519,37676800
2015-11-04,7.105000,7.157500,6.975000,7.007500,6.818195,44226400
2015-11-05,7.042500,7.062500,6.907500,6.927500,6.740356,47880000
2015-11-06,7.612500,7.985000,7.455000,7.887500,7.674422,117227200
2015-11-09,7.810000,7.875000,7.742500,7.852500,7.640367,49256800
2015-11-10,7.750000,7.792500,7.537500,7.702500,7.494418,55226000
2015-11-11,7.707500,7.762500,7.600000,7.627500,7.421444,61989600
2015-11-12,7.610000,7.680000,7.567500,7.600000,7.394689,29108000
2015-11-13,7.607500,7.640000,7.412500,7.450000,7.248739,29294000
2015-11-16,7.547500,7.605000,7.487500,7.600000,7.394689,34428000
2015-11-17,7.620000,7.665000,7.567500,7.600000,7.394689,25704800
2015-11-18,7.602500,7.767500,7.520000,7.757500,7.576594,35021600
2015-11-19,7.785000,7.857500,7.722500,7.780000,7.598570,25407200
2015-11-20,7.837500,7.892500,7.790000,7.847500,7.664495,23974400
2015-11-23,7.912500,7.912500,7.702500,7.730000,7.549736,24255200
2015-11-24,7.730000,7.860000,7.695000,7.792500,7.610778,19542800
2015-11-25,7.777500,7.870000,7.755000,7.782500,7.601011,13830000
2015-11-27,7.797500,7.872500,7.757500,7.847500,7.664495,8699600
2015-11-30,7.855000,7.965000,7.847500,7.930000,7.745071,32724400
2015-12-01,8.000000,8.195000,7.992500,8.187500,7.996569,40949600
2015-12-02,8.200000,8.285000,8.107500,8.125000,7.935525,29424000
2015-12-03,8.190000,8.275000,8.067500,8.107500,7.918432,24665600
2015-12-04,8.107500,8.452500,8.107500,8.437500,8.240737,45875600
2015-12-07,8.435000,8.435000,8.252500,8.277500,8.084467,33358800
2015-12-08,8.175000,8.425000,8.122500,8.390000,8.194345,31448800
2015-12-09,8.387500,8.437500,8.092500,8.177500,7.986800,37267600
2015-12-10,8.202500,8.290000,8.175000,8.245000,8.052726,23659600
2015-12-11,8.162500,8.220000,8.105000,8.122500,7.933082,22732000
2015-12-14,8.130000,8.187500,8.045000,8.142500,7.952615,27589200
2015-12-15,8.235000,8.300000,8.190000,8.242500,8.050282,30729600
2015-12-16,8.260000,8.320000,8.187500,8.292500,8.099120,23635600
2015-12-17,8.305000,8.390000,8.162500,8.167500,7.977029,25416000
2015-12-18,8.110000,8.192500,8.025000,8.035000,7.847623,39589600
2015-12-21,8.122500,8.232500,8.050000,8.225000,8.033194,28421600
2015-12-22,8.250000,8.315000,8.182500,8.232500,8.040517,13001200
2015-12-23,8.245000,8.297500,8.230000,8.265000,8.072260,12252400
2015-12-24,8.240000,8.312500,8.227500,8.292500,8.099120,5244800
2015-12-28,8.205000,8.285000,8.090000,8.285000,8.091793,14202400
2015-12-29,8.290000,8.445000,8.267500,8.420000,8.223645,20366000
2015-12-30,8.412500,8.485000,8.345000,8.347500,8.152835,18034400
2015-12-31,8.335000,8.372500,8.240000,8.240000,8.047842,14852800
2016-01-04,8.072500,8.145000,8.010000,8.092500,7.903783,35807600
